ID,CATEGORY_ID,NAME,LABEL,NOTES,GROUP_BY
209d6736-af7d-4941-9945-2f87a6259761,,aceh,Aceh,11,provinces
d7f343e7-7e01-4bd5-8994-b5608fdbc27b,,sumatera-utara,Sumatera Utara,12,provinces
40f9e05e-dd5b-49b4-be02-833ee5f224e2,,sumatera-barat,Sumatera Barat,13,provinces
98e613d6-6c59-42fc-b60e-88a3799aa6e4,,riau,Riau,14,provinces
83fc9a14-2179-4f49-affb-bffe3bdea8cc,,jambi,Jambi,15,provinces
fb8f2f0f-c97b-4261-8301-92b02fae8539,,sumatera-selatan,Sumatera Selatan,16,provinces
970b8c9a-e1f6-4cb2-9a8d-a4d0439b3b99,,bengkulu,Bengkulu,17,provinces
770dfaef-40ad-4090-ba22-8187bf607d12,,lampung,Lampung,18,provinces
9b6b3ef2-ccc1-4f1b-8e82-f44fd5fc495a,,kepulauan-bangka-belitung,Kepulauan Bangka Belitung,19,provinces
5c33bc63-e8f7-45c0-a020-f361dd3e9ad5,,kepulauan-riau,Kepulauan Riau,21,provinces
f2d8d468-2f14-4373-9b6a-fc247dd7dceb,,dki-jakarta,Dki Jakarta,31,provinces
a166cc1c-02f9-41e1-9444-2018791b9a26,,jawa-barat,Jawa Barat,32,provinces
e59cabe4-88c0-463a-91cf-1da33cd04391,,jawa-tengah,Jawa Tengah,33,provinces
3c0256a1-d673-4118-aea6-7462d931a96b,,di-yogyakarta,Di Yogyakarta,34,provinces
59ac3659-446c-485b-9048-ee0906658c2e,,jawa-timur,Jawa Timur,35,provinces
e001552f-5cf0-4258-8ebd-82afacf33b01,,banten,Banten,36,provinces
184bbba6-f509-4d33-a41f-c687221b2c99,,bali,Bali,51,provinces
f1a79e00-cd6f-4ec0-90cd-243cf461ffce,,nusa-tenggara-barat,Nusa Tenggara Barat,52,provinces
37e83578-66f9-4416-9b04-70e167e29153,,nusa-tenggara-timur,Nusa Tenggara Timur,53,provinces
6ac5be24-a9cd-42ed-90f7-247576b4a511,,kalimantan-barat,Kalimantan Barat,61,provinces
03d8cce7-58ba-42ae-b991-b50d9f8dcf9b,,kalimantan-tengah,Kalimantan Tengah,62,provinces
2c21f9e6-74d9-487b-a90c-4245a1a7c3ba,,kalimantan-selatan,Kalimantan Selatan,63,provinces
b9fefc64-f9b0-4220-ab19-a5c982f38d23,,kalimantan-timur,Kalimantan Timur,64,provinces
7280f010-0677-4c2e-a63d-f022dec664f4,,kalimantan-utara,Kalimantan Utara,65,provinces
8e3e1cec-b0ff-476c-be34-10c9e9b04086,,sulawesi-utara,Sulawesi Utara,71,provinces
a7e342f1-89b1-46cd-a1eb-b877739692fe,,sulawesi-tengah,Sulawesi Tengah,72,provinces
7e76b4ac-a5bd-40fd-9135-bcb462b565fa,,sulawesi-selatan,Sulawesi Selatan,73,provinces
a31f1ec1-c3e7-4ec0-8d52-29ae42100cca,,sulawesi-tenggara,Sulawesi Tenggara,74,provinces
05fe0dec-447c-477f-aa2b-5497cd0900fd,,gorontalo,Gorontalo,75,provinces
705f952a-5833-4227-b61d-52c847872189,,sulawesi-barat,Sulawesi Barat,76,provinces
38f4abe0-c146-4bb6-aa95-3203487d2599,,maluku,Maluku,81,provinces
b5ae7e39-1081-48b2-8717-aa25fe73114d,,maluku-utara,Maluku Utara,82,provinces
2288347c-dd7c-4102-a541-60c1aea8d936,,papua-barat,Papua Barat,91,provinces
4b61c0e3-83ab-4fb3-8599-5c5214fdbfc4,,papua,Papua,94,provinces
ed799a6d-6fa6-45b1-a8c5-648e6bef17de,209d6736-af7d-4941-9945-2f87a6259761,kabupaten-simeulue,Kabupaten Simeulue,1101,cities
a895bd3f-8c53-40b9-9815-6ff75f7ab0a0,209d6736-af7d-4941-9945-2f87a6259761,kabupaten-aceh-singkil,Kabupaten Aceh Singkil,1102,cities
ad8eb551-463d-4721-b6d0-2d978576b7f4,209d6736-af7d-4941-9945-2f87a6259761,kabupaten-aceh-selatan,Kabupaten Aceh Selatan,1103,cities
101021d4-6ce9-469e-bed6-287138b08c07,209d6736-af7d-4941-9945-2f87a6259761,kabupaten-aceh-tenggara,Kabupaten Aceh Tenggara,1104,cities
eb74baa3-9276-433a-85f4-2ef31a314969,209d6736-af7d-4941-9945-2f87a6259761,kabupaten-aceh-timur,Kabupaten Aceh Timur,1105,cities
f34f9430-83b0-45fa-b85c-29a7fe5949bb,209d6736-af7d-4941-9945-2f87a6259761,kabupaten-aceh-tengah,Kabupaten Aceh Tengah,1106,cities
2346c2b4-0d17-443a-be85-0ccf717cafca,209d6736-af7d-4941-9945-2f87a6259761,kabupaten-aceh-barat,Kabupaten Aceh Barat,1107,cities
47dcd87b-8d5b-45e9-a47d-b2757fa98ae4,209d6736-af7d-4941-9945-2f87a6259761,kabupaten-aceh-besar,Kabupaten Aceh Besar,1108,cities
336a3ef1-f7b7-4424-9739-9c0245912e3a,209d6736-af7d-4941-9945-2f87a6259761,kabupaten-pidie,Kabupaten Pidie,1109,cities
845d7a9b-ca87-494e-b0dc-5ccba4a9f6b9,209d6736-af7d-4941-9945-2f87a6259761,kabupaten-bireuen,Kabupaten Bireuen,1110,cities
743dc5cf-6ecd-4afa-8835-316e56c34311,209d6736-af7d-4941-9945-2f87a6259761,kabupaten-aceh-utara,Kabupaten Aceh Utara,1111,cities
20499a63-9fb1-43e6-9482-8d121d3372b5,209d6736-af7d-4941-9945-2f87a6259761,kabupaten-aceh-barat-daya,Kabupaten Aceh Barat Daya,1112,cities
04e8ed38-730c-4a92-9c37-da83c3b23813,209d6736-af7d-4941-9945-2f87a6259761,kabupaten-gayo-lues,Kabupaten Gayo Lues,1113,cities
6bbf22d3-ea0c-4805-b515-2dba4cfcadc4,209d6736-af7d-4941-9945-2f87a6259761,kabupaten-aceh-tamiang,Kabupaten Aceh Tamiang,1114,cities
453076c6-db1e-4697-b8c4-59a1c4dc8788,209d6736-af7d-4941-9945-2f87a6259761,kabupaten-nagan-raya,Kabupaten Nagan Raya,1115,cities
f84c5b7a-d1ec-4eeb-a50c-8facb04dc5f1,209d6736-af7d-4941-9945-2f87a6259761,kabupaten-aceh-jaya,Kabupaten Aceh Jaya,1116,cities
c00049f2-b231-44ae-982e-d77fc5169d09,209d6736-af7d-4941-9945-2f87a6259761,kabupaten-bener-meriah,Kabupaten Bener Meriah,1117,cities
e1c3b94a-efee-4c03-9c05-d32b04be89f8,209d6736-af7d-4941-9945-2f87a6259761,kabupaten-pidie-jaya,Kabupaten Pidie Jaya,1118,cities
49af4bc3-f6de-4993-8e8a-db0250035270,209d6736-af7d-4941-9945-2f87a6259761,kota-banda-aceh,Kota Banda Aceh,1171,cities
4d92f172-3d0d-47d0-9293-4ab169b7be82,209d6736-af7d-4941-9945-2f87a6259761,kota-sabang,Kota Sabang,1172,cities
350c928c-70db-4fc7-b4c8-6778b8b0a49f,209d6736-af7d-4941-9945-2f87a6259761,kota-langsa,Kota Langsa,1173,cities
cf49b26b-2ca4-4cfd-a697-8cc8b6beec19,209d6736-af7d-4941-9945-2f87a6259761,kota-lhokseumawe,Kota Lhokseumawe,1174,cities
99ef4ce3-265f-40a2-9b34-4c2d94f4b68f,209d6736-af7d-4941-9945-2f87a6259761,kota-subulussalam,Kota Subulussalam,1175,cities
3b8581d5-14e5-4797-b62f-9dcf00288d4f,d7f343e7-7e01-4bd5-8994-b5608fdbc27b,kabupaten-nias,Kabupaten Nias,1201,cities
a291c911-355d-4267-97c8-c1b5ca4056fd,d7f343e7-7e01-4bd5-8994-b5608fdbc27b,kabupaten-mandailing-natal,Kabupaten Mandailing Natal,1202,cities
9c670ee8-74d0-4b82-8393-68ef94c01288,d7f343e7-7e01-4bd5-8994-b5608fdbc27b,kabupaten-tapanuli-selatan,Kabupaten Tapanuli Selatan,1203,cities
e904ca0c-015b-4ed6-85c3-f763657d8f68,d7f343e7-7e01-4bd5-8994-b5608fdbc27b,kabupaten-tapanuli-tengah,Kabupaten Tapanuli Tengah,1204,cities
3d9c1cf8-43ea-41a9-9574-4ff9c99d4638,d7f343e7-7e01-4bd5-8994-b5608fdbc27b,kabupaten-tapanuli-utara,Kabupaten Tapanuli Utara,1205,cities
bf375092-7c87-45b5-819c-ebad43553deb,d7f343e7-7e01-4bd5-8994-b5608fdbc27b,kabupaten-toba-samosir,Kabupaten Toba Samosir,1206,cities
3610bd1c-f67a-4f2e-ba76-bb025c93bde8,d7f343e7-7e01-4bd5-8994-b5608fdbc27b,kabupaten-labuhan-batu,Kabupaten Labuhan Batu,1207,cities
1ee81a10-5458-4f45-b059-d0b3d7a77091,d7f343e7-7e01-4bd5-8994-b5608fdbc27b,kabupaten-asahan,Kabupaten Asahan,1208,cities
605b63a6-500d-449e-8c81-1612ea9d6d10,d7f343e7-7e01-4bd5-8994-b5608fdbc27b,kabupaten-simalungun,Kabupaten Simalungun,1209,cities
be1533fa-6ab0-4160-9f39-e979fcfcf01d,d7f343e7-7e01-4bd5-8994-b5608fdbc27b,kabupaten-dairi,Kabupaten Dairi,1210,cities
4a62ca1e-40ca-4dc4-ad5b-ad925cbdcb64,d7f343e7-7e01-4bd5-8994-b5608fdbc27b,kabupaten-karo,Kabupaten Karo,1211,cities
35db943a-8202-4fe9-8de3-d6b6d0212421,d7f343e7-7e01-4bd5-8994-b5608fdbc27b,kabupaten-deli-serdang,Kabupaten Deli Serdang,1212,cities
ceae3ad0-74ef-4e48-b2ec-5a63331b3ad3,d7f343e7-7e01-4bd5-8994-b5608fdbc27b,kabupaten-langkat,Kabupaten Langkat,1213,cities
